url,address,neighborhood,rent,beds,baths,flexs
https://www.renthop.com/listings/70-west-37th-street/1012/15836883,"70 West 37th Street, Apt 1012","Murray Hill, Midtown Manhattan, Manhattan","$3,646",Studio,1_Bath,
https://www.renthop.com/listings/21-west-end-avenue/1213/15829210,"21 West End Avenue, Apt 1213","Lincoln Square, Upper West Side, Upper Manhattan, Manhattan","$2,973",Studio,1_Bath,
https://www.renthop.com/listings/594-bergen-street/garden/15844010,"594 Bergen Street, Apt GARDEN","Prospect Heights, Northwestern Brooklyn, Brooklyn","$3,100",1_Bed,1_Bath,
https://www.renthop.com/listings/171-5th-avenue/2f/15843967,"171 5th Avenue, Apt 2F","North Slope, Park Slope, South Brooklyn, Brooklyn","$2,400",1_Bed,1_Bath,
https://www.renthop.com/listings/5608-church-ave/1/15842030,"5608 Church Ave, Apt 1","East Flatbush, Central Brooklyn, Brooklyn","$2,400",3_Bed,1_Bath,
https://www.renthop.com/listings/901-wyckoff-avenue/3l/15842889,"901 Wyckoff Avenue, Apt 3L","Ridgewood, Northwestern Queens, Queens","$1,800",1_Bed,1_Bath,
https://www.renthop.com/listings/901-wyckoff-avenue/3l/15850171,"901 Wyckoff Avenue, Apt 3L","Ridgewood, Northwestern Queens, Queens","$1,800",1_Bed,1_Bath,
https://www.renthop.com/listings/534-east-85th-st/4b/15837065,"534 East 85th St, Apt 4B","Yorkville, Upper East Side, Upper Manhattan, Manhattan","$2,025",Studio,1_Bath,
https://www.renthop.com/listings/153-avenue-c/2r/15749757,"153 Avenue C, Apt 2R","Alphabet City, East Village, Downtown Manhattan, Manhattan","$2,165",1_Bed,1_Bath,
https://www.renthop.com/listings/east-16th-street/12-d/15850981,East 16th Street,"Gramercy Park, Midtown Manhattan, Manhattan","$5,400",1_Bed,1_Bath,
https://www.renthop.com/listings/west-73rd-street/11-e/15737274,West 73rd Street,"Upper West Side, Upper Manhattan, Manhattan","$2,900",Studio,1_Bath,
https://www.renthop.com/listings/314-east-106th-street/4/14273832,"314 East 106th Street, Apt 4","East Harlem, Upper Manhattan, Manhattan","$2,396",2_Bed,1_Bath,
https://www.renthop.com/listings/330-west-58th-street/31c/15841225,"330 West 58th Street, Apt 31C","Hell's Kitchen, Midtown Manhattan, Manhattan","$3,399",1_Bed,1_Bath,
https://www.renthop.com/listings/west-23rd-street/211/15263383, West 23rd Street,"Chelsea, Midtown Manhattan, Manhattan","$3,195",Studio,1_Bath,
https://www.renthop.com/listings/east-46th-street/32a/15422095,East 46th Street,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan","$3,495",1_Bed,1_Bath,
https://www.renthop.com/listings/534-east-85th-st/4b/15850121,"534 East 85th St, Apt 4B","Yorkville, Upper East Side, Upper Manhattan, Manhattan","$2,650",1_Bed,1_Bath,
https://www.renthop.com/listings/astor-place/3/15620910,Astor Place,"NoHo, Downtown Manhattan, Manhattan","$3,150",Studio,1_Bath,
https://www.renthop.com/listings/20-broad-street/1301/15864375,"20 Broad Street, Apt 1301","Financial District, Downtown Manhattan, Manhattan","$5,546",2_Bed,1_Bath,/_Flex_3_
https://www.renthop.com/listings/116-mott-st/4/15848307,"116 Mott St, Apt 4","Chinatown, Downtown Manhattan, Manhattan","$2,750",2_Bed,1_Bath,
https://www.renthop.com/listings/west-37th-street-10th-avenue/na/15835625,West 37th Street & 10th Avenue...,"Hell's Kitchen, Midtown Manhattan, Manhattan","$2,950",Studio,1_Bath,
