url,address,neighborhood,rent,beds,baths,flexs
https://www.renthop.com/listings/gold-st/12c/15805699,Gold St.,"Downtown Brooklyn, Northwestern Brooklyn, Brooklyn",3395,1,1.0,
https://www.renthop.com/listings/gold-st/9d/15781135,Gold St.,"Downtown Brooklyn, Northwestern Brooklyn, Brooklyn",3071,1,1.0,
https://www.renthop.com/listings/141-east-56th-street/11-a/15574472,"141 East 56th Street, Apt 11A","Midtown East, Midtown Manhattan, Manhattan",4925,2,1.0,
https://www.renthop.com/listings/west-street/2127/15420672,west street ,"Financial District, Downtown Manhattan, Manhattan",3750,1,1.0,3.0
https://www.renthop.com/listings/382-wadsworth-ave/4b/15645566,"382 Wadsworth Ave, Apt 4B","Fort George, Washington Heights, Upper Manhattan, Manhattan",4195,5,2.0,
https://www.renthop.com/listings/301-east-38-street/16i/14838472,"301 East 38 Street, Apt 16I","Murray Hill, Midtown Manhattan, Manhattan",2775,1,1.0,
https://www.renthop.com/listings/800-fifth-ave/14f/14701352,"800 Fifth Ave, Apt 14F","Civic Center, Downtown Manhattan, Manhattan",21500,2,3.0,
https://www.renthop.com/listings/65-ainslie-st/411/15823552,"65 Ainslie St, Apt 411","East Williamsburg, Williamsburg, Northern Brooklyn, Brooklyn",2800,0,1.0,
https://www.renthop.com/listings/309-fifth-avenue-new-york-ny-10016/1br/15823293,"309 Fifth Avenue, New York, Ny...","Murray Hill, Midtown Manhattan, Manhattan",3490,1,1.0,
https://www.renthop.com/listings/50-overlook-terrace/2e/15634385,"50 Overlook Terrace, Apt 2E","Hudson Heights, Washington Heights, Upper Manhattan, Manhattan",2895,2,2.0,
https://www.renthop.com/listings/450-north-end-ave/4d/15825221,"450 North End Ave., Apt 4D","Battery Park City, Downtown Manhattan, Manhattan",3995,1,1.0,
https://www.renthop.com/listings/122-west-81st-street/3/13949613,"122 West 81st Street, Apt 3","Upper West Side, Upper Manhattan, Manhattan",2475,1,1.0,
https://www.renthop.com/listings/west-43rd-street/3f/15554851,West 43rd Street,"Hell's Kitchen, Midtown Manhattan, Manhattan",2800,0,1.0,
https://www.renthop.com/listings/e-39th-st/232/15804461,E 39th St,"Murray Hill, Midtown Manhattan, Manhattan",3350,1,1.0,2.0
https://www.renthop.com/listings/west-43rd-street/6f/15389169,West 43rd Street,"Hell's Kitchen, Midtown Manhattan, Manhattan",3000,0,1.0,1.0
https://www.renthop.com/listings/lexington-avenue/10f/15808529,Lexington Avenue,"East Harlem, Upper Manhattan, Manhattan",5600,2,2.0,
https://www.renthop.com/listings/50-battery-pl/6b/14946005,"50 Battery Pl, Apt 6B","Battery Park City, Downtown Manhattan, Manhattan",4659,2,2.0,
https://www.renthop.com/listings/east-96th-street/20a/15808519,East 96th Street,"East Harlem, Upper Manhattan, Manhattan",5500,2,2.0,
https://www.renthop.com/listings/405-east-75th-street/3b/15643217,"404 East 75th Street, Apt 3B","Upper East Side, Upper Manhattan, Manhattan",2200,1,1.0,
https://www.renthop.com/listings/20-broad-street/na/15789874,20 Broad Street,"Financial District, Downtown Manhattan, Manhattan",4445,1,1.0,
https://www.renthop.com/listings/50-battery-pl/6b/14946005,"50 Battery Pl, Apt 6B","Battery Park City, Downtown Manhattan, Manhattan",4659,2,2.0,
https://www.renthop.com/listings/east-96th-street/20a/15808519,East 96th Street,"East Harlem, Upper Manhattan, Manhattan",5500,2,2.0,
https://www.renthop.com/listings/405-east-75th-street/3b/15643217,"404 East 75th Street, Apt 3B","Upper East Side, Upper Manhattan, Manhattan",2200,1,1.0,
https://www.renthop.com/listings/west-68th-street/1014/15712564,West 68th Street,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",3450,0,1.0,1.0
https://www.renthop.com/listings/20-broad-street/na/15789874,20 Broad Street,"Financial District, Downtown Manhattan, Manhattan",4445,1,1.0,
https://www.renthop.com/listings/201-east-87th-street/5p/15151502,"201 East 87th Street, Apt 5P","Yorkville, Upper East Side, Upper Manhattan, Manhattan",7695,3,2.0,
https://www.renthop.com/listings/e-25th-street/na/14727307,E. 25th Street ,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",4000,1,1.0,2.0
https://www.renthop.com/listings/95-christopher-street/10j/15785723,"95 Christopher, Apt 10J","West Village, Downtown Manhattan, Manhattan",5725,1,1.0,
https://www.renthop.com/listings/225-schermerhorn-street/cf0-3/15794439,"225 Schermerhorn Street, Apt C...","Downtown Brooklyn, Northwestern Brooklyn, Brooklyn",2699,0,1.0,
https://www.renthop.com/listings/505-west-37th-st/11i/15563588,"505 West 37th St, Apt 11I","Hell's Kitchen, Midtown Manhattan, Manhattan",3684,1,1.0,2.0
https://www.renthop.com/listings/w-139th-st/22/15814241,W 139th St,"Hamilton Heights, West Harlem, Upper Manhattan, Manhattan",2000,1,1.0,
https://www.renthop.com/listings/72-61-113th-street/na/14964441,72-61 113th Street,"Forest Hills, Northwestern Queens, Queens",2100,1,1.0,
https://www.renthop.com/listings/8th-street-and-broadway/6f/15818773,8th Street and Broadway,"NoHo, Downtown Manhattan, Manhattan",3150,0,1.0,
https://www.renthop.com/listings/19-dutch-street/18d/15779639,"19 Dutch Street, Apt 18D","Financial District, Downtown Manhattan, Manhattan",3556,0,1.0,
https://www.renthop.com/listings/2-gold-street/4a/14487261,"2 Gold Street, Apt 4A","Financial District, Downtown Manhattan, Manhattan",3731,1,1.0,
https://www.renthop.com/listings/75-05-113th-street/7/15709200,"75-05 113th Street, Apt 7","Forest Hills, Northwestern Queens, Queens",1785,0,1.0,
https://www.renthop.com/listings/w-159/2/15816751,W 159,"Washington Heights, Upper Manhattan, Manhattan",2695,3,1.0,
https://www.renthop.com/listings/11-west-82nd-street/3/15815002,"11 West 82nd Street, Apt 3","Upper West Side, Upper Manhattan, Manhattan",2800,0,2.0,1.0
https://www.renthop.com/listings/53-west-72nd-street/4f/15825218,"53 West 72nd Street, Apt 4F","Upper West Side, Upper Manhattan, Manhattan",2348,0,1.0,
https://www.renthop.com/listings/324-east-35th-street/1d/15766455,"324 East 35th Street, Apt 1D","Murray Hill, Midtown Manhattan, Manhattan",3500,2,2.0,
