url,address,neighborhood,rent,beds,baths,flexs,zip
https://www.renthop.com/listings/626-1st-avenue/w17m/15393842,"626 1st Avenue, Apt W17M","Murray Hill, Midtown Manhattan, Manhattan",3408,0,1.0,0.0,10016
https://www.renthop.com/listings/20-exchange-place/2601/15779641,"20 Exchange Place, Apt 2601","Financial District, Downtown Manhattan, Manhattan",3673,1,1.0,0.0,10005
https://www.renthop.com/listings/8-av-43rd-st/15b/12922895,8 Av /43rd st,"Hell's Kitchen, Midtown Manhattan, Manhattan",3650,1,1.0,2.0,10036
https://www.renthop.com/listings/211-mcguinness-boulevard/224/15676481,"211 Mcguinness Boulevard, Apt ...","Greenpoint, Northern Brooklyn, Brooklyn",3575,1,1.0,2.0,11222
https://www.renthop.com/listings/2-gold-st/3113/15828774,"2 Gold St., Apt 3113","Financial District, Downtown Manhattan, Manhattan",3622,1,1.0,2.0,10038
https://www.renthop.com/listings/2-gold-st/3113/15828774,"2 Gold St., Apt 3113","Financial District, Downtown Manhattan, Manhattan",3622,1,1.0,2.0,10038
https://www.renthop.com/listings/527-east-88th-st/4r/15791364,"527 East 88th St, Apt 4R","Yorkville, Upper East Side, Upper Manhattan, Manhattan",4115,2,1.0,0.0,10128
https://www.renthop.com/listings/200-water-st/1018/15828757,"200 Water St., Apt 1018","Financial District, Downtown Manhattan, Manhattan",4900,2,2.0,3.0,10038
https://www.renthop.com/listings/163-stanton-st/2/15618559,"163 Stanton St, Apt 2","Lower East Side, Downtown Manhattan, Manhattan",2150,1,1.0,0.0,10002
https://www.renthop.com/listings/697-10th-avenue-3rs/3rs/15775375,"697 10th Avenue, Apt 3RS","Hell's Kitchen, Midtown Manhattan, Manhattan",3395,1,1.0,0.0,10036
https://www.renthop.com/listings/132-e-45th/na/15828158,132 E 45th,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",2995,1,1.0,0.0,10017
