url,address,neighborhood,rent,beds,baths,flexs
https://www.renthop.com/listings/420-west-42nd-street/22d/15841596,"420 West 42nd Street, Apt 22D","Hell's Kitchen, Midtown Manhattan, Manhattan","$4,875",2_Bed,2_Bath,/_Flex_3_
https://www.renthop.com/listings/330-west-39th-street/23e/14464277,"330 West 39th Street, Apt 23E","Garment District, Midtown Manhattan, Manhattan","$5,890",2_Bed,2_Bath,
https://www.renthop.com/listings/47th-avenue/5r/15842730,47th Avenue,"Hunters Point, Long Island City, Northwestern Queens, Queens","$3,350",1_Bed,1_Bath,
https://www.renthop.com/listings/west-37th-street/2301/15841767,West 37th Street,"Hell's Kitchen, Midtown Manhattan, Manhattan","$3,571",1_Bed,1_Bath,
https://www.renthop.com/listings/west-42nd-street/36h/15841511,West 42nd Street,"Hell's Kitchen, Midtown Manhattan, Manhattan","$3,295",1_Bed,1_Bath,
https://www.renthop.com/listings/east-47th-street/14j/15842692,East 47th Street,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan","$5,695",2_Bed,2_Bath,/_Flex_3_
https://www.renthop.com/listings/10th-avenue/12c/15841500,10th Avenue,"Hell's Kitchen, Midtown Manhattan, Manhattan","$2,750",Studio,1_Bath,
https://www.renthop.com/listings/west-45th-street/1207/15842740,West 45th Street,"Hell's Kitchen, Midtown Manhattan, Manhattan","$5,000",2_Bed,2_Bath,
https://www.renthop.com/listings/west-53rd-street/519/15862591,West 53rd Street,"Hell's Kitchen, Midtown Manhattan, Manhattan","$4,895",2_Bed,2_Bath,/_Flex_3_
https://www.renthop.com/listings/west-37th-street/1904/15806409,West 37th Street,"Hell's Kitchen, Midtown Manhattan, Manhattan","$3,375",1_Bed,1_Bath,
https://www.renthop.com/listings/21-west-st/na/14092053,21 West St,"Financial District, Downtown Manhattan, Manhattan","$3,295",Studio,1_Bath,
https://www.renthop.com/listings/208-west-23rd-street/211/15864464,"208 West 23rd Street, Apt 211","Chelsea, Midtown Manhattan, Manhattan","$3,195",Studio,1_Bath,
https://www.renthop.com/listings/west-37th-street/1612/15863067,West 37th Street,"Hell's Kitchen, Midtown Manhattan, Manhattan","$3,517",1_Bed,1_Bath,/_Flex_2_
https://www.renthop.com/listings/656-w-204th-street/24/15859775,"656 W 204th Street, Apt 24","Inwood, Upper Manhattan, Manhattan","$2,218",1_Bed,1_Bath,
https://www.renthop.com/listings/611-w-135th-st/24/15859794,"611 W 135th St, Apt 24","Hamilton Heights, West Harlem, Upper Manhattan, Manhattan","$2,350",2_Bed,1_Bath,
https://www.renthop.com/listings/134-haven-avenue/1g/15130807,"134 Haven Avenue, Apt 1G","Washington Heights, Upper Manhattan, Manhattan","$2,525",2_Bed,1.5_Bath,
https://www.renthop.com/listings/6th-ave/2f/15473721,6th Ave,"NoMad, Midtown Manhattan, Manhattan","$4,171",Studio,1_Bath,/_Flex_1_
https://www.renthop.com/listings/east-36th-street/rh/15853275,East 36th Street,"Murray Hill, Midtown Manhattan, Manhattan","$7,050",3_Bed,2.5_Bath,
https://www.renthop.com/listings/east-11th-street/10/15800483,East 11th Street,"Alphabet City, East Village, Downtown Manhattan, Manhattan","$3,000",2_Bed,1_Bath,
https://www.renthop.com/listings/30-74-30th-street/1r/15795052,"30-74 30th Street, Apt 1R","Astoria, Northwestern Queens, Queens","$2,200",1_Bed,1_Bath,
https://www.renthop.com/listings/30-74-30th-street/1r/15795052,"30-74 30th Street, Apt 1R","Astoria, Northwestern Queens, Queens","$2,200",1_Bed,1_Bath,
https://www.renthop.com/listings/10th-ave/2g/15864456,10th Ave,"Chelsea, Midtown Manhattan, Manhattan","$3,942",1_Bed,1_Bath,
https://www.renthop.com/listings/east-14th-st/7/15825313,East 14th St ,"East Village, Downtown Manhattan, Manhattan","$2,995",2_Bed,1_Bath,
https://www.renthop.com/listings/21-west-end-avenue/1213/15829210,"21 West End Avenue, Apt 1213","Lincoln Square, Upper West Side, Upper Manhattan, Manhattan","$2,973",Studio,1_Bath,
https://www.renthop.com/listings/west-45th-street/g-4/15493033,West 45th Street,"Hell's Kitchen, Midtown Manhattan, Manhattan","$2,700",1_Bed,1_Bath,
https://www.renthop.com/listings/70-west-37th-street/1012/15836883,"70 West 37th Street, Apt 1012","Murray Hill, Midtown Manhattan, Manhattan","$3,646",Studio,1_Bath,
https://www.renthop.com/listings/east-17th-street/3g/15853352,East 17th Street,"Gramercy Park, Midtown Manhattan, Manhattan","$2,450",Studio,1_Bath,
https://www.renthop.com/listings/1-jane-street/5d/15791211,"1 Jane Street, Apt 5D","West Village, Downtown Manhattan, Manhattan","$3,475",Studio,1_Bath,
https://www.renthop.com/listings/west-38th-street/11a/15862677,West 38th Street,"Hell's Kitchen, Midtown Manhattan, Manhattan","$3,650",1_Bed,1_Bath,
https://www.renthop.com/listings/west-42nd-street/24b/15863017,West 42nd Street,"Hell's Kitchen, Midtown Manhattan, Manhattan","$4,950",2_Bed,2_Bath,
https://www.renthop.com/listings/350-east-65-street/20/15836256,"350 East 65 Street, Apt 20","Upper East Side, Upper Manhattan, Manhattan","$2,150",1_Bed,1_Bath,
https://www.renthop.com/listings/350-w-21st/5/15823232,350 W 21st,"Chelsea, Midtown Manhattan, Manhattan","$3,995",1_Bed,1_Bath,
https://www.renthop.com/listings/704-washington-avenue/2/15864438,"704 Washington Avenue, Apt 2","Prospect Heights, Northwestern Brooklyn, Brooklyn","$2,800",1_Bed,1_Bath,
https://www.renthop.com/listings/205-knickerbocker-avenue/3f/15827566,"205 Knickerbocker Avenue, Apt ...","Bushwick, Northern Brooklyn, Brooklyn","$2,850",1_Bed,1_Bath,
https://www.renthop.com/listings/21-west/na/14121063,21 West,"Financial District, Downtown Manhattan, Manhattan","$4,095",1_Bed,1_Bath,
https://www.renthop.com/listings/231-west-149th/na/15858783,231 West 149th,"Central Harlem, Upper Manhattan, Manhattan","$2,695",3_Bed,1_Bath,
https://www.renthop.com/listings/594-bergen-street/garden/15844010,"594 Bergen Street, Apt GARDEN","Prospect Heights, Northwestern Brooklyn, Brooklyn","$3,100",1_Bed,1_Bath,
https://www.renthop.com/listings/w-37th-street/8e/15855396,W 37th Street,"Hell's Kitchen, Midtown Manhattan, Manhattan","$5,679",2_Bed,2_Bath,/_Flex_3_
https://www.renthop.com/listings/133-143-fort-george/3c/15850088,"133-143 Fort George, Apt 3C","Fort George, Washington Heights, Upper Manhattan, Manhattan","$1,925",1_Bed,1_Bath,
https://www.renthop.com/listings/50-battery-pl/6b/14946005,"50 Battery Pl, Apt 6B","Battery Park City, Downtown Manhattan, Manhattan","$4,659",2_Bed,2_Bath,
https://www.renthop.com/listings/231-west-149th/na/15858783,231 West 149th,"Central Harlem, Upper Manhattan, Manhattan","$2,695",3_Bed,1_Bath,
https://www.renthop.com/listings/594-bergen-street/garden/15844010,"594 Bergen Street, Apt GARDEN","Prospect Heights, Northwestern Brooklyn, Brooklyn","$3,100",1_Bed,1_Bath,
https://www.renthop.com/listings/w-37th-street/8e/15855396,W 37th Street,"Hell's Kitchen, Midtown Manhattan, Manhattan","$5,679",2_Bed,2_Bath,/_Flex_3_
https://www.renthop.com/listings/171-5th-avenue/2f/15843967,"171 5th Avenue, Apt 2F","North Slope, Park Slope, South Brooklyn, Brooklyn","$2,400",1_Bed,1_Bath,
