url,address,neighborhood,rent,beds,baths,flexs,zip
https://www.renthop.com/listings/21-west-end-avenue/1213/15829210,"21 West End Avenue, Apt 1213","Lincoln Square, Upper West Side, Upper Manhattan, Manhattan","$2,973",0,1,0,
https://www.renthop.com/listings/70-west-37th-street/1012/15836883,"70 West 37th Street, Apt 1012","Murray Hill, Midtown Manhattan, Manhattan","$3,646",0,1,0,
https://www.renthop.com/listings/205-knickerbocker-avenue/3f/15827566,"205 Knickerbocker Avenue, Apt ...","Bushwick, Northern Brooklyn, Brooklyn","$2,850",1,1,0,
https://www.renthop.com/listings/594-bergen-street/garden/15844010,"594 Bergen Street, Apt GARDEN","Prospect Heights, Northwestern Brooklyn, Brooklyn","$3,100",1,1,0,
https://www.renthop.com/listings/171-5th-avenue/2f/15843967,"171 5th Avenue, Apt 2F","North Slope, Park Slope, South Brooklyn, Brooklyn","$2,400",1,1,0,
https://www.renthop.com/listings/309-fifth-avenue/16f/15811374,"309 Fifth Avenue, Apt 16F","Murray Hill, Midtown Manhattan, Manhattan","$3,600",0,1,0,
https://www.renthop.com/listings/5608-church-ave/1/15842030,"5608 Church Ave, Apt 1","East Flatbush, Central Brooklyn, Brooklyn","$2,400",3,1,0,
https://www.renthop.com/listings/125-court-street/5sd/15848114,"125 Court Street, Apt 5SD","Boerum Hill, South Brooklyn, Brooklyn","$3,760",1,1,0,
https://www.renthop.com/listings/901-wyckoff-avenue/3l/15842889,"901 Wyckoff Avenue, Apt 3L","Ridgewood, Northwestern Queens, Queens","$1,800",1,1,0,
https://www.renthop.com/listings/901-wyckoff-avenue/3l/15850171,"901 Wyckoff Avenue, Apt 3L","Ridgewood, Northwestern Queens, Queens","$1,800",1,1,0,
https://www.renthop.com/listings/wall-street/906/15863281,Wall Street ,"Financial District, Downtown Manhattan, Manhattan","$6,580",3,2,4,
https://www.renthop.com/listings/534-east-85th-st/4b/15837065,"534 East 85th St, Apt 4B","Yorkville, Upper East Side, Upper Manhattan, Manhattan","$2,025",0,1,0,
https://www.renthop.com/listings/20-broad-street/1301/15864375,"20 Broad Street, Apt 1301","Financial District, Downtown Manhattan, Manhattan","$5,546",2,1,3,
https://www.renthop.com/listings/350-east-57th-street/16/15864444,"360 East 57th Street, Apt 16","Sutton Place, Midtown East, Midtown Manhattan, Manhattan","$6,999",4,3,0,
https://www.renthop.com/listings/153-avenue-c/2r/15749757,"153 Avenue C, Apt 2R","Alphabet City, East Village, Downtown Manhattan, Manhattan","$2,165",1,1,0,
https://www.renthop.com/listings/330-west-58th-street/31c/15841225,"330 West 58th Street, Apt 31C","Hell's Kitchen, Midtown Manhattan, Manhattan","$3,399",1,1,0,
https://www.renthop.com/listings/west-54th-st-and-9th-ave/na/15844008,West 54th St and 9th Ave,"Hell's Kitchen, Midtown Manhattan, Manhattan","$2,299",1,1,0,
https://www.renthop.com/listings/greenwich-ave/3f/15415398,Greenwich Ave,"West Village, Downtown Manhattan, Manhattan","$2,613",0,1,0,
https://www.renthop.com/listings/20-broad-st/1302/15864383,"20 Broad St, Apt 1302","Financial District, Downtown Manhattan, Manhattan","$3,845",1,1,0,
https://www.renthop.com/listings/tudor-city/436/15856906,Tudor City,"Tudor City, Midtown East, Midtown Manhattan, Manhattan","$3,395",1,1,0,
https://www.renthop.com/listings/153-avenue-c/2r/15749757,"153 Avenue C, Apt 2R","Alphabet City, East Village, Downtown Manhattan, Manhattan","$2,165",1,1,0,
https://www.renthop.com/listings/330-west-58th-street/31c/15841225,"330 West 58th Street, Apt 31C","Hell's Kitchen, Midtown Manhattan, Manhattan","$3,399",1,1,0,
https://www.renthop.com/listings/54-7th-avenue/5/15864429,"54 7th Avenue, Apt 5","North Slope, Park Slope, South Brooklyn, Brooklyn","$2,650",1,1,0,
https://www.renthop.com/listings/50-battery-pl/6b/14946005,"50 Battery Pl, Apt 6B","Battery Park City, Downtown Manhattan, Manhattan","$4,659",2,2,0,
https://www.renthop.com/listings/west-54th-st-and-9th-ave/na/15844008,West 54th St and 9th Ave,"Hell's Kitchen, Midtown Manhattan, Manhattan","$2,299",1,1,0,
https://www.renthop.com/listings/greenwich-ave/3f/15415398,Greenwich Ave,"West Village, Downtown Manhattan, Manhattan","$2,613",0,1,0,
https://www.renthop.com/listings/20-broad-st/1302/15864383,"20 Broad St, Apt 1302","Financial District, Downtown Manhattan, Manhattan","$3,845",1,1,0,
https://www.renthop.com/listings/tudor-city/436/15856906,Tudor City,"Tudor City, Midtown East, Midtown Manhattan, Manhattan","$3,395",1,1,0,
